The Terminator (1984)	Dogans, Ed	1984
Toy Story (1995)	Morris, John (III)	1995
Real Girls Next Door 2 (2007) (V)	Wilde, Adam (I)	2007
Far from Heaven (2002)	Davis, Mylika	2002
Blow (2001)	Coronel, Al	2001
Gone Baby Gone (2007)	Franko, Victor	2007
My Cousin Vinny (1992)	Clements, Jill Jane (I)	1992
The Conversation (1974)	Hackman, Gene	1974
The Pianist (2002)	Wojtych, Tadeusz	2002
Refraction (2007)	Hannaway, Wyndham	2007
Man on Fire (2004)	Pellicer, Ariane	2004
Indiana Jones and the Last Crusade (1989)	Maxwell, Paul (I)	1989
Rang De Basanti (2006)	Kher, Anupam	2006
Blow Dry (2001)	Hiltunen, Jukka (I)	2001
Love Actually (2003)	Ostrom, Meredith (I)	2003
Flipped (2010)	Carroll, Madeline	2010
The Social Network (2010)	Wilson, Cherilyn	2010
The Longest Day (1962)	Gelderman, Arnold	1962
High Fidelity (2000)	Marshall, Penny (I)	2000
The Aviator (2004)	Akeson, Mark	2004
Flight (2012/I)	Coulter, Steve (I)	2012
House of Dark Shadows (1970)	DiCenzo, George	1970
Kaze no tani no Naushika (1984)	Apostolina, Stephen	1984
Felon (2008)	Sivertsen, Mark	2008
Swingers (1996)	Van Horn, Patrick (I)	1996
Drive-by Sunset (2011)	Pannell, James	2011
Megamind (2010)	Nordwind, Emily	2010
The Hangover (2009)	Finnerty, Dan (II)	2009
2001: A Space Odyssey (1968)	Ashley, John (III)	1968
Mr. Smith Goes to Washington (1939)	Hari, Wilfred	1939
Jacob's Ladder (1990/I)	Bean, Orson	1990
Robin Hood (1973)	Buttram, Pat (I)	1973
Return to Twin Peaks (2007) (V)	Glindinning, Eric	2007
The Three Burials of Melquiades Estrada (2005)	Navarette, Adrian	2005
Gosford Park (2001)	Beer, Will	2001
Restul e tacere (2007)	Musatescu, Bogdan	2007
La haine (1995)	Ghili, Abdel Ahmed	1995
An American Werewolf in London (1981)	Carter, Nina	1981
The Hustler (1961)	Dierkop, Charles	1961
Really Decadent Guys (2007)	Y?ndem, Erol	2007
Mississippi Burning (1988)	Speaks, Jesse Merle	1988
50/50 (2011)	Gordon-Levitt, Joseph	2011
Lars and the Real Girl (2007)	Cahill, Sally (I)	2007
The Abyss (1989)	Nemec III, Joseph C.	1989
Resiklo (2007)	Holmes, Frank (I)	2007
Ransomed: A True Story of Healing and Forgiveness (2007) (V)	Chisholm, Stephen	2007
Role Modeling (2007) (V)	McCall, Apple	2007
Malcolm X (1992)	Ward, Theara	1992
Rapid Ralph Runs the Roads #1 (2007) (V)	Roberts, Ralph (IV)	2007
Billy Elliot (2000)	Lingard, Dennis	2000
The Man Who Wasn't There (2001)	Higgins, John Michael	2001
The Devil's Advocate (1997)	Koury, Omar	1997
Rebel Without a Cause (1955)	Wood, Natalie (I)	1955
Shutter Island (2010)	Mitchell, Aidan	2010
The Longest Day (1962)	Hausmeister, Ruth	1962
La dolce vita (1960)	Spadini, Letizia	1960
Catch Me If You Can (2002)	Kusserow, Robert	2002
The Devil's Advocate (1997)	Rucker, Bo	1997
The Last King of Scotland (2006)	Ashton, David (I)	2006
Being There (1979)	Lubin, William	1979
The Truman Show (1998)	Krause, Peter (I)	1998
Catch Me If You Can (2002)	Olmsted, Alden	2002
Alien Encounters: Superior Fan Power Since 1979 (2013)	McClung, Pat	2013
The Godfather (1972)	Brando, Marlon	1972
The Maltese Falcon (1941)	Greenstreet, Sydney	1941
The Illusionist (2006)	Forest, David (III)	2006
Vertigo (1958)	McElhatton, David	1958
The Social Network (2010)	Ferris, Richard	2010
The Warriors (1979)	Chiotti, Richard	1979
Scarface (1983)	Millan, Victor	1983
High Fidelity (2000)	Bell, Drake	2000
North by Northwest (1959)	Seymour, Harry	1959
Mystic River (2003)	Page, T. Bruce	2003
Heavenly Creatures (1994)	Nicoll, John (I)	1994
Pick-Up Lines 29: Patio Pleasures (1998) (V)	Mae, Elly	1998
Say Anything... (1989)	Prescott, Judy	1989
Sabrina (1954)	Vogan, Emmett	1954
West Side Story (1961)	Joyce, Elaine (I)	1961
The Dark Knight (2008)	Mazurk, Joseph	2008
The Girl with the Dragon Tattoo (2011)	Soderberg, Britt	2011
Warrior (2011)	Rowe, Raymond	2011
Minority Report (2002)	Means, Brennen	2002
Fargo (1996)	Stockton, Rose	1996
Revamped (2007) (V)	Haskins, Dennis	2007
Slumdog Millionaire (2008)	Jhalani, Meghana	2008
Intouchables (2011)	de Meaux, Jos?phine	2011
Bullitt (1968)	Moss, Ned (I)	1968
Chasing Amy (1997)	O'Donnell, Ernest	1997
Monty Python and the Holy Grail (1975)	Gilliam, Terry	1975
Runway (2007)	Pidrmanov?, Jana	2007
Lord of War (2005)	Gorbachev, Mikhail	2005
Lord of War (2005)	Nshanian, Jean-Pierre	2005
Babel (2006)	Cuota, Pedro	2006
Elephant (2003)	Hitler, Adolf	2003
Milk Jugs (2008) (V)	Daisy (VI)	2008
Changeling (2008)	Gearhart, Devon	2008
Avatar: The Game (2009) (VG)	Windsor, Jane (I)	2009
Titanic (1997)	Amis, Suzy	1997
Walk the Line (2005)	Gardner, Glenn Alan	2005
A Bronx Tale (1993)	Caserta Jr., Frank	1993
Anatomy of a Murder (1959)	Arden, Eve	1959
Up That Black Ass 6 (2009) (V)	Cakes, Baby	2009
Rush Hour 3 (2007)	Pearl, David (III)	2007
Harry Potter and the Deathly Hallows: Part 2 (2011)	Campbell Bower, Jamie	2011
Mongol (2007)	Erdenebat, Bayertsetseg	2007
The Warriors (1979)	Velez, Wanda	1979
Black Swan (2010)	Margolis, Mark (I)	2010
The Lord of the Rings: The Return of the King (2003)	Wenham, David	2003
PinkMovie.Com (1998) (V)	Wright, Richard (II)	1998
