197	Groundhog Day (1993)
198	Dog Day Afternoon (1975)
199	The Bourne Ultimatum (2007)
200	Incendies (2010)
201	Twelve Monkeys (1995)
202	The Hustler (1961)
203	Anatomy of a Murder (1959)
204	Salinui chueok (2003)
205	Life of Pi (2012)
206	Stalag 17 (1953)
207	A Beautiful Mind (2001)
208	Hachi: A Dog's Tale (2009)
209	The Man Who Shot Liberty Valance (1962)
210	Black Swan (2010)
211	The Graduate (1967)
212	Sleuth (1972)
213	Harry Potter and the Deathly Hallows: Part 2 (2011)
214	The Manchurian Candidate (1962)
215	Barry Lyndon (1975)
216	The Wild Bunch (1969)
217	Mou gaan dou (2002)
218	The Perks of Being a Wallflower (2012)
219	Yeopgijeogin geunyeo (2001)
220	Roman Holiday (1953)
221	Rocky (1976)
222	Slumdog Millionaire (2008)
223	Yip Man (2008)
224	In the Name of the Father (1993)
225	Rope (1948)
226	La haine (1995)
227	Kaze no tani no Naushika (1984)
228	Festen (1998)
229	Pirates of the Caribbean: The Curse of the Black Pearl (2003)
230	All Quiet on the Western Front (1930)
231	Underground (1995)
232	
233	Harvey (1950)
234	Bom yeoreum gaeul gyeoul geurigo bom (2003)
235	The Exorcist (1973)
236	La dolce vita (1960)
237	
238	The Artist (2011) (V)
239	Trois couleurs: Rouge (1994)
240	A Streetcar Named Desire (1951)
241	Star Trek (2009)
242	Bronenosets Potemkin (1925)
243	Bringing Up Baby (1938)
244	Le scaphandre et le papillon (2007)
245	Monsters, Inc. (2001)
246	Rio Bravo (1959)
247	
248	His Girl Friday (1940)
249	Per un pugno di dollari (1964)
250	The Help (2011)
251	Das Cabinet des Dr. Caligari (1920)
252	The Philadelphia Story (1940)
253	
254	The Truman Show (1998)
255	Shutter Island (2010)
256	Papillon (1973)
257	A Christmas Story (1983)
258	Beauty and the Beast (1991)
259	Ratatouille (2007)
260	District 9 (2009)
261	Shadow of a Doubt (1943)
262	Before Sunrise (1995)
263	The Searchers (1956)
264	Jurassic Park (1993)
265	Duck Soup (1933)
266	In the Heat of the Night (1967)
267	Solyaris (1972)
268	Charade (1963)
269	Nosferatu, eine Symphonie des Grauens (1922)
270	Chung Hing sam lam (1994)
271	The Lady Vanishes (1938)
272	Aguirre, der Zorn Gottes (1972)
273	Patton (1970)
274	Paris, Texas (1984)
275	The Adventures of Robin Hood (1938)
276	Rosemary's Baby (1968)
277	Manhattan (1979)
278	The Nightmare Before Christmas (1993)
279	Frankenstein (1931)
280	Harold and Maude (1971)
281	King Kong (1933)
282	Rain Man (1988)
283	Mar adentro (2004/I)
284	All the President's Men (1976)
285	Crna macka, beli macor (1998)
286	Big Fish (2003)
287	Bin-jip (2004)
288	Magnolia (1999)
289	Dawn of the Dead (1978)
290	
291	JFK (1991)
292	Night of the Living Dead (1968)
293	Shaun of the Dead (2004)
294	Young Frankenstein (1974)
295	Mystic River (2003)
296	The Straight Story (1999)
297	Spartacus (1960)
298	The Untouchables (1987)
299	The Conversation (1974)
300	Planet of the Apes (1968)
301	Edward Scissorhands (1990)
302	
303	Blood Diamond (2006)
304	The Wrestler (2008)
305	The African Queen (1951)
306	Before Sunset (2004)
307	Being There (1979)
308	Doctor Zhivago (1965)
309	Bonnie and Clyde (1967)
310	Dances with Wolves (1990)
311	Kill Bill: Vol. 2 (2004)
312	Sling Blade (1996)
313	The Incredibles (2004)
314	Crimes and Misdemeanors (1989)
315	Ed Wood (1994)
316	Brazil (1985)
317	This Is the End (2013/I)
318	Tropa de Elite (2007)
319	Hable con ella (2002)
320	Moon (2009)
321	In Bruges (2008)
322	This Is Spinal Tap (1984)
323	Avatar (2009)
324	Akira (1988)
325	Midnight Cowboy (1969)
326	Letters from Iwo Jima (2006)
327	Toy Story 2 (1999)
328	Persepolis (2007)
329	Mulholland Dr. (2001)
330	Casino Royale (2006)
331	Children of Men (2006)
332	True Romance (1993)
333	
334	No Man's Land (2001)
335	Cinderella Man (2005)
336	The Man Who Would Be King (1975)
337	The Insider (1999)
338	Gegen die Wand (2004)
339	Miller's Crossing (1990)
340	Aladdin (1992)
341	Dogville (2003)
342	Ying xiong (2002)
